site_id,lat,lon,address,district,sector,containers,container_liters,capacity_liters,area_type,daily_fill_rate_pct,fill_pct,last_service_day,source_real
SITE-0062,51.164817,71.447816,"ул. Училищный переулок, 5А, район Жастар",Жастар,Жастар,2,240,480,private,28.8341,73.4463,-2,False
SITE-0063,51.172133,71.447363,"ул. улица Ануара Алимжанова, 27, район Жастар",Жастар,Жастар,1,660,660,commercial,58.4637,2.2827,0,False
SITE-0064,51.198386,71.460153,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,1,1100,1100,commercial,39.8433,55.0696,-1,False
SITE-0065,51.16369,71.449616,"ул. Амангелді Иманов көшесі, 30/10, район Жастар",Жастар,Жастар,5,1100,5500,private,6.7317,13.1158,-1,False
SITE-0066,51.16127,71.44192,"ул. Шоқан Уәлиханов көшесі, 2а, район Жастар",Жастар,Жастар,3,1100,3300,commercial,29.9935,78.4328,-2,False
SITE-0067,51.159344,71.4353,"ул. Мәлік Ғабдуллин көшесі, 6Б, район Жастар",Жастар,Жастар,5,1100,5500,commercial,27.1672,35.4198,-1,False
SITE-0068,51.192262,71.46342,"ул. шоссе Алаш, 20/1, район Жастар",Жастар,Жастар,6,120,720,commercial,56.5086,9.3064,0,False
SITE-0069,51.164633,71.445219,"ул. Амангелді Иманов көшесі, 28, район Жастар",Жастар,Жастар,6,660,3960,mixed,19.0587,67.2051,-3,False
SITE-0070,51.167562,71.442293,"ул. Тараз көшесі, 10А, район Жастар",Жастар,Жастар,1,1100,1100,commercial,50.302,63.5716,-1,False
SITE-0071,51.17931,71.445977,"ул. переулок Култегин, 40А, район Жастар",Жастар,Жастар,2,120,240,commercial,95.0,28.101,0,False
SITE-0072,51.174743,71.453024,"ул. переулок Льва Толстого, 11, район Жастар",Жастар,Жастар,3,660,1980,commercial,46.9752,64.5937,-1,False
SITE-0073,51.169007,71.447244,"ул. улица Луи Пастера, 121, район Жастар",Жастар,Жастар,2,240,480,mixed,45.9562,57.56,-1,False
SITE-0074,51.160982,71.44031,"ул. Жәнібек Тархан көшесі, 2В, район Жастар",Жастар,Жастар,5,240,1200,commercial,48.7491,41.0985,0,False
SITE-0075,51.201983,71.459333,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,2,240,480,commercial,74.9149,8.4942,0,False
SITE-0076,51.176139,71.439779,"ул. Әліби Жангелдин көшесі, 44/1, район Жастар",Жастар,Жастар,3,240,720,commercial,64.0869,81.0992,-1,False
SITE-0077,51.161488,71.444245,"ул. Жәнібек Тархан көшесі, 3/1, район Жастар",Жастар,Жастар,2,660,1320,multistorey,31.7212,76.3513,-2,False
SITE-0078,51.186027,71.447444,"ул. шоссе Алаш, 5/1, район Жастар",Жастар,Жастар,2,1100,2200,mixed,17.6484,25.4936,-1,False
SITE-0079,51.159872,71.436129,"ул. Шолпан Иманбаева көшесі, 2п, район Жастар",Жастар,Жастар,1,1100,1100,commercial,61.0182,68.1621,-1,False
SITE-0080,51.197853,71.459047,"ул. улица Чехоева, 19/2, район Жастар",Жастар,Жастар,1,1100,1100,commercial,62.2137,82.5655,-1,False
SITE-0081,51.200501,71.462179,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,4,660,2640,mixed,21.1951,3.1714,0,False
SITE-0082,51.196501,71.458917,"ул. улица Чехоева, 10/1, район Жастар",Жастар,Жастар,4,1100,4400,commercial,18.8585,26.2436,-1,False
SITE-0083,51.169813,71.447088,"ул. Отырар көшесі, 16/9, район Жастар",Жастар,Жастар,2,120,240,mixed,45.3227,59.1699,-1,False
SITE-0084,51.173226,71.441809,"ул. Сәкен Сейфуллин көшесі, 44/3, район Жастар",Жастар,Жастар,4,120,480,private,18.6797,28.7891,-1,False
SITE-0085,51.170399,71.436756,"ул. Абай даңғылы, 59/1, район Жастар",Жастар,Жастар,1,240,240,commercial,95.0,80.8811,0,False
SITE-0086,51.170358,71.441365,"ул. Абай даңғылы, 65/2, район Жастар",Жастар,Жастар,2,240,480,commercial,95.0,50.5548,0,False
SITE-0087,51.175375,71.453536,"ул. улица Льва Толстого, 36, район Жастар",Жастар,Жастар,2,1100,2200,commercial,33.8211,69.6839,-2,False
SITE-0088,51.192919,71.46271,"ул. улица Михаила Шолохова, 11, район Жастар",Жастар,Жастар,4,660,2640,commercial,31.645,27.5253,0,False
SITE-0089,51.199272,71.457955,"ул. улица Чехоева, 15А/1, район Жастар",Жастар,Жастар,6,1100,6600,mixed,12.9772,23.429,-1,False
SITE-0090,51.165671,71.443732,"ул. Баянауыл көшесі, 97, район Жастар",Жастар,Жастар,1,240,240,mixed,54.278,54.2921,-1,False
SITE-0091,51.173637,71.445223,"ул. Сәкен Сейфуллин көшесі, 48/10, район Жастар",Жастар,Жастар,1,660,660,private,13.7533,36.8368,-2,False
SITE-0092,51.169649,71.447938,"ул. улица Ануара Алимжанова, 17, район Жастар",Жастар,Жастар,4,660,2640,mixed,13.8196,49.2173,-3,False
SITE-0093,51.165663,71.450209,"ул. переулок Павла Морозова, 21, район Жастар",Жастар,Жастар,4,660,2640,multistorey,35.3825,64.285,-1,False
SITE-0094,51.199941,71.457091,"ул. улица Чехоева, 15А, район Жастар",Жастар,Жастар,3,660,1980,mixed,14.21,2.2507,0,False
SITE-0095,51.155504,71.444909,"ул. Балкашинский переулок, 22, район Жастар",Жастар,Жастар,1,660,660,commercial,66.7722,84.9498,-1,False
SITE-0096,51.200277,71.458248,"ул. улица Чехоева, 15А/1, район Жастар",Жастар,Жастар,6,1100,6600,mixed,13.371,5.2603,0,False
SITE-0097,51.17129,71.438709,"ул. Шоқан Уәлиханов көшесі, 20А, район Жастар",Жастар,Жастар,2,1100,2200,commercial,29.2694,79.338,-2,False
SITE-0098,51.197361,71.459426,"ул. улица Чехоева, 19/2, район Жастар",Жастар,Жастар,1,1100,1100,commercial,59.1308,52.4143,0,False
SITE-0099,51.15808,71.444433,"ул. улица Таха Хусейна, 6/4, район Жастар",Жастар,Жастар,3,120,360,commercial,71.1513,8.6518,0,False
SITE-0100,51.173259,71.450055,"ул. Сәкен Сейфуллин көшесі, 61/4, район Жастар",Жастар,Жастар,2,240,480,private,21.3947,1.0596,0,False
SITE-0101,51.166921,71.450386,"ул. Кенесары көшесі, 75, район Жастар",Жастар,Жастар,6,1100,6600,mixed,9.699,51.3661,-3,False
SITE-0102,51.173458,71.442793,"ул. Сәкен Сейфуллин көшесі, 51/4, район Жастар",Жастар,Жастар,3,1100,3300,private,8.0284,72.1456,-3,False
SITE-0103,51.172585,71.44431,"ул. Сәкен Сейфуллин көшесі, 48/2, район Жастар",Жастар,Жастар,6,240,1440,private,14.4296,23.3725,-1,False
SITE-0104,51.156721,71.446146,"ул. Астраханский переулок, 7, район Жастар",Жастар,Жастар,4,120,480,commercial,68.8463,31.1684,0,False
SITE-0105,51.15828,71.434898,"ул. Мәлік Ғабдуллин көшесі, 4/1, район Жастар",Жастар,Жастар,2,660,1320,commercial,49.0165,24.8487,0,False
SITE-0106,51.164398,71.434502,"ул. Амангелді Иманов көшесі, 11, район Жастар",Жастар,Жастар,3,660,1980,commercial,55.7237,69.8507,-1,False
SITE-0107,51.201638,71.458033,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,3,240,720,commercial,64.2654,57.1104,0,False
SITE-0108,51.167972,71.440193,"ул. кенесары, район Жастар",Жастар,Жастар,1,1100,1100,commercial,66.5263,65.7772,0,False
SITE-0109,51.163102,71.442299,"ул. улица Агыбай батыра, 92, район Жастар",Жастар,Жастар,2,120,240,commercial,73.6403,3.2914,0,False
SITE-0110,51.165134,71.437863,"ул. Генерал Сабыр Рақымов көшесі, 31/1, район Жастар",Жастар,Жастар,3,660,1980,commercial,24.5717,30.287,-1,False
SITE-0111,51.19457,71.462807,"ул. улица Хачатуряна, 2, район Жастар",Жастар,Жастар,4,660,2640,commercial,40.0864,56.6918,-1,False
SITE-0112,51.196199,71.457837,"ул. улица Чехоева, 8А, район Жастар",Жастар,Жастар,4,660,2640,commercial,28.7613,49.7376,-1,False
SITE-0113,51.198125,71.461662,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,6,660,3960,mixed,13.787,58.9938,-3,False
SITE-0114,51.195432,71.455108,"ул. улица Чехоева, 3, район Жастар",Жастар,Жастар,4,1100,4400,mixed,15.2018,37.4886,-2,False
SITE-0115,51.171952,71.444201,"ул. Жақып Омаров көшесі, 135, район Жастар",Жастар,Жастар,1,120,120,multistorey,95.0,13.8701,0,False
SITE-0116,51.177843,71.449235,"ул. переулок Абыралы, 8, район Жастар",Жастар,Жастар,6,660,3960,private,6.3842,0.861,0,False
SITE-0117,51.162872,71.445683,"ул. Асан Қайғы көшесі, 16, район Жастар",Жастар,Жастар,4,660,2640,commercial,41.6215,24.3732,0,False
SITE-0118,51.163093,71.44909,"ул. переулок Амангельды Иманова, 29, район Жастар",Жастар,Жастар,6,1100,6600,private,6.1045,47.3308,-3,False
SITE-0119,51.169755,71.441562,"ул. Шоқан Уәлиханов көшесі, 12/2, район Жастар",Жастар,Жастар,4,1100,4400,commercial,23.7807,80.285,-3,False
SITE-0120,51.180427,71.443941,"ул. улица Михаила Лермонтова, 54, район Жастар",Жастар,Жастар,2,660,1320,commercial,46.0717,11.7544,0,False
SITE-0121,51.175151,71.45163,"ул. переулок Льва Толстого, 1, район Жастар",Жастар,Жастар,3,1100,3300,mixed,15.9372,62.9379,-3,False
SITE-0122,51.170464,71.446743,"ул. Абай даңғылы, 54/4, район Жастар",Жастар,Жастар,5,1100,5500,mixed,15.1664,9.3645,0,False
SITE-0123,51.197533,71.456788,"ул. улица Чехоева, 17/1, район Жастар",Жастар,Жастар,1,1100,1100,commercial,62.2414,70.9259,-1,False
SITE-0124,51.174923,71.440135,"ул. улица Карагандинская, 83/1, район Жастар",Жастар,Жастар,5,660,3300,commercial,34.4368,74.6292,-2,False
SITE-0125,51.161132,71.445724,"ул. Жәнібек Тархан көшесі, 10, район Жастар",Жастар,Жастар,5,660,3300,commercial,30.4033,43.0079,-1,False
SITE-0126,51.158472,71.436798,"ул. Бараев көшесі, 17, район Жастар",Жастар,Жастар,5,240,1200,commercial,46.0039,11.3881,0,False
SITE-0127,51.169548,71.445036,"ул. Отырар көшесі, 15/8, район Жастар",Жастар,Жастар,4,120,480,mixed,48.2087,19.7268,0,False
SITE-0128,51.175103,71.454475,"ул. улица Льва Толстого, 40, район Жастар",Жастар,Жастар,4,1100,4400,commercial,24.2868,4.8708,0,False
SITE-0129,51.165561,71.442743,"ул. Тараз көшесі, 5/4, район Жастар",Жастар,Жастар,1,1100,1100,mixed,20.7081,56.0153,-2,False
SITE-0130,51.156127,71.444904,"ул. Балкашинский переулок, 7А, район Жастар",Жастар,Жастар,6,660,3960,commercial,28.7398,44.9363,-1,False
SITE-0131,51.180636,71.447271,"ул. улица Жиенкулова, 22, район Жастар",Жастар,Жастар,5,1100,5500,commercial,25.7241,69.8371,-2,False
SITE-0132,51.196047,71.45254,"ул. улица Чехоева, 1/1 стр.1, район Жастар",Жастар,Жастар,1,1100,1100,mixed,26.5123,83.6916,-3,False
SITE-0133,51.173989,71.454894,"ул. улица Алмукан Сембинов, 26, район Жастар",Жастар,Жастар,3,120,360,commercial,81.6782,27.9468,0,False
SITE-0134,51.168334,71.443411,"ул. улица Луи Пастера, 101А, район Жастар",Жастар,Жастар,2,660,1320,mixed,25.7922,50.6803,-1,False
SITE-0135,51.177709,71.447576,"ул. переулок Абыралы, 5, район Жастар",Жастар,Жастар,2,240,480,private,22.486,30.9707,-1,False
SITE-0136,51.176897,71.444024,"ул. улица Сырдария, 69, район Жастар",Жастар,Жастар,2,1100,2200,private,8.8687,57.7213,-3,False
SITE-0137,51.159915,71.439953,"ул. улица Рамазан, 78, район Жастар",Жастар,Жастар,5,660,3300,commercial,21.5935,58.8098,-2,False
SITE-0138,51.195233,71.459558,"ул. переулок Ырыс, 2а, район Жастар",Жастар,Жастар,5,1100,5500,mixed,12.7688,2.9827,0,False
SITE-0139,51.166107,71.440337,"ул. улица Мухамед-Хайдара Дулати, 72, район Жастар",Жастар,Жастар,1,1100,1100,mixed,23.1325,76.6958,-3,False
SITE-0140,51.196155,71.462672,"ул. улица Бестобе, 24, район Жастар",Жастар,Жастар,6,120,720,commercial,69.6206,38.3474,0,False
SITE-0141,51.166047,71.448834,"ул. переулок Павла Морозова, 11, район Жастар",Жастар,Жастар,3,120,360,mixed,54.9141,63.8625,-1,False
SITE-0142,51.198405,71.458983,"ул. улица Чехоева, 19/3, район Жастар",Жастар,Жастар,5,1100,5500,commercial,16.6785,25.6068,-1,False
SITE-0143,51.175419,71.446417,"ул. улица Ануара Алимжанова, 56, район Жастар",Жастар,Жастар,3,1100,3300,commercial,25.4146,38.0057,-1,False
SITE-0144,51.169112,71.441311,"ул. Отырар көшесі, 12/2, район Жастар",Жастар,Жастар,2,1100,2200,commercial,42.3236,46.9771,-1,False
SITE-0145,51.172603,71.441762,"ул. улица Енгелик-Кебек, 11, район Жастар",Жастар,Жастар,5,1100,5500,commercial,21.0353,79.2294,-3,False
SITE-0146,51.165327,71.440627,"ул. Шоқан Уәлиханов көшесі, 8/4, район Жастар",Жастар,Жастар,3,1100,3300,mixed,14.1168,59.9454,-3,False
SITE-0147,51.172199,71.445632,"ул. Жақып Омаров көшесі, 141, район Жастар",Жастар,Жастар,1,1100,1100,multistorey,46.812,63.727,-1,False
SITE-0148,51.154943,71.445073,"ул. Балкашинский переулок, 28, район Жастар",Жастар,Жастар,6,1100,6600,commercial,30.9213,17.7349,0,False
SITE-0149,51.195944,71.464243,"ул. улица Мурадели, 13, район Жастар",Жастар,Жастар,4,1100,4400,commercial,25.9885,72.7568,-2,False
SITE-0150,51.173845,71.450529,"ул. Сәкен Сейфуллин көшесі, 63/1, район Жастар",Жастар,Жастар,3,1100,3300,mixed,16.9914,69.3904,-3,False
SITE-0151,51.167832,71.447462,"ул. Кенесары көшесі, 56/6, район Жастар",Жастар,Жастар,2,1100,2200,mixed,20.7448,72.6072,-3,False
SITE-0152,51.179003,71.451517,"ул. улица Жиенкулова, 11/5, район Жастар",Жастар,Жастар,5,660,3300,commercial,39.6709,0.0546,0,False
SITE-0153,51.173541,71.448889,"ул. Сәкен Сейфуллин көшесі, 63А, район Жастар",Жастар,Жастар,4,1100,4400,private,5.3817,42.2075,-3,False
SITE-0154,51.193673,71.463457,"ул. шоссе Алаш, 13, район Жастар",Жастар,Жастар,4,1100,4400,commercial,28.5117,23.6363,0,False
SITE-0155,51.162156,71.440666,"ул. Ғұмар Қараш көшесі, 68, район Жастар",Жастар,Жастар,4,1100,4400,multistorey,14.0659,82.5572,-3,False
SITE-0156,51.19904,71.456169,"ул. улица Чехоева, 15А, район Жастар",Жастар,Жастар,6,1100,6600,mixed,11.956,51.8015,-3,False
SITE-0157,51.164354,71.443278,"ул. Тараз көшесі, 3/4, район Жастар",Жастар,Жастар,6,660,3960,mixed,15.4115,44.2729,-2,False
SITE-0158,51.179434,71.443402,"ул. улица Михаила Лермонтова, 46, район Жастар",Жастар,Жастар,2,1100,2200,mixed,31.2827,32.3799,-1,False
SITE-0159,51.17398,71.446839,"ул. улица Ануара Алимжанова, 45, район Жастар",Жастар,Жастар,5,660,3300,private,9.8298,13.0499,-1,False
SITE-0160,51.160837,71.435848,"ул. Шолпан Иманбаева көшесі, 5, район Жастар",Жастар,Жастар,4,1100,4400,commercial,32.5189,4.1414,0,False
SITE-0161,51.171269,71.441131,"ул. Тараз көшесі, 14/2, район Жастар",Жастар,Жастар,6,660,3960,commercial,32.2698,59.9357,-1,False
SITE-0162,51.175383,71.444714,"ул. улица Сырдария, 60А, район Жастар",Жастар,Жастар,1,1100,1100,mixed,39.4541,50.335,-1,False
SITE-0163,51.195022,71.460461,"ул. переулок Ырыс, 4, район Жастар",Жастар,Жастар,5,660,3300,mixed,15.7073,46.2483,-2,False
SITE-0164,51.202946,71.456472,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,1,1100,1100,commercial,38.4323,28.0521,0,False
SITE-0165,51.165685,71.445017,"ул. Асан Қайғы көшесі, 35, район Жастар",Жастар,Жастар,4,660,2640,mixed,29.0746,9.7279,0,False
SITE-0166,51.197361,71.463177,"ул. улица Чехоева, 18/1, район Жастар",Жастар,Жастар,3,1100,3300,commercial,41.3887,47.0219,-1,False
SITE-0167,51.171809,71.442917,"ул. Жақып Омаров көшесі, 127/2, район Жастар",Жастар,Жастар,2,660,1320,mixed,33.2281,67.9241,-2,False
SITE-0168,51.176731,71.442591,"ул. Әліби Жангелдин көшесі, 46/2а, район Жастар",Жастар,Жастар,3,660,1980,mixed,24.3861,52.9288,-2,False
SITE-0169,51.16801,71.451882,"ул. улица газеты «Егемен Қазақстан» көшесі, 15/12, район Жастар",Жастар,Жастар,3,1100,3300,multistorey,23.214,76.883,-3,False
SITE-0170,51.160821,71.437684,"ул. Бараев көшесі, 25, район Жастар",Жастар,Жастар,4,240,960,commercial,69.56,69.0362,0,False
SITE-0171,51.197712,71.460728,"ул. улица Чехоева, 14/1, район Жастар",Жастар,Жастар,5,660,3300,commercial,35.5739,26.0758,0,False
SITE-0172,51.200586,71.456005,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,6,1100,6600,mixed,11.0836,26.0994,-2,False
SITE-0173,51.162251,71.445851,"ул. Асан Қайғы көшесі, 3, район Жастар",Жастар,Жастар,6,660,3960,commercial,29.1464,69.7089,-2,False
SITE-0174,51.199044,71.459503,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,3,660,1980,commercial,48.7424,6.2655,0,False
SITE-0175,51.197928,71.464835,"ул. Илья Чехоев көшесі, 5/1, район Жастар",Жастар,Жастар,1,1100,1100,commercial,49.7048,61.4106,-1,False
SITE-0176,51.178368,71.442439,"ул. переулок Култегин, 17Б, район Жастар",Жастар,Жастар,5,1100,5500,mixed,9.8445,33.188,-3,False
SITE-0177,51.174121,71.440292,"ул. Тараз көшесі, 17/4, район Жастар",Жастар,Жастар,1,1100,1100,commercial,57.8686,68.33,-1,False
SITE-0178,51.161373,71.443039,"ул. Жәнібек Тархан көшесі, 1/7, район Жастар",Жастар,Жастар,3,660,1980,multistorey,33.3974,7.378,0,False
